League,PICK_FINAL,count,hit,MARKET,hit_adj_mkt
Slovenia - Prva Liga,Over2.5,9,0.5555555555555556,OU,0.5574669091643932
Slovenia - Prva Liga,Under2.5,17,0.47058823529411764,OU,0.48448014549863594
Slovenia - Prva Liga,X,4,0.0,1X2,0.258564139941691
South Korea - K League 1,BTTS_Yes,53,0.6226415094339622,BTTS,0.6190249157915594
South Korea - K League 1,MS1,11,0.5454545454545454,1X2,0.5578534985422741
South Korea - K League 1,Over2.5,7,0.2857142857142857,OU,0.3689602909972719
South Korea - K League 1,Under2.5,40,0.55,OU,0.5509209979063423
South Korea - K League 1,X,6,0.3333333333333333,1X2,0.423327664399093
Spain - La Liga,BTTS_No,10,0.6,BTTS,0.5896457911021018
Spain - La Liga,BTTS_Yes,49,0.4897959183673469,BTTS,0.49356529392937165
Spain - La Liga,MS1,38,0.868421052631579,1X2,0.8490231458437033
Spain - La Liga,MS2,17,0.6470588235294118,1X2,0.6404974489795918
Spain - La Liga,Over2.5,15,0.6666666666666666,OU,0.6494223838873733
Spain - La Liga,Under2.5,63,0.5714285714285714,OU,0.5710545895450412
Spain - La Liga,X,5,0.4,1X2,0.4762436224489796
Spain - La Liga2,BTTS_No,11,0.5454545454545454,BTTS,0.5475282345948088
Spain - La Liga2,BTTS_Yes,64,0.59375,BTTS,0.5920208251392138
Spain - La Liga2,MS1,45,0.6888888888888889,1X2,0.6835406037414966
Spain - La Liga2,MS2,1,1.0,1X2,0.7024872448979592
Spain - La Liga2,Over2.5,20,0.5,OU,0.5082436047814225
Spain - La Liga2,Under2.5,88,0.5227272727272727,OU,0.5240615704392607
Spain - La Liga2,X,12,0.25,1X2,0.3206632653061225
Sweden - Allsvenskan,BTTS_No,6,0.16666666666666666,BTTS,0.2961550315919248
Sweden - Allsvenskan,BTTS_Yes,41,0.5365853658536586,BTTS,0.537849892825621
Sweden - Allsvenskan,MS1,21,0.5714285714285714,1X2,0.5754145408163266
Sweden - Allsvenskan,MS2,5,0.6,1X2,0.6012436224489797
Sweden - Allsvenskan,Over2.5,17,0.5294117647058824,OU,0.5344801454986359
